0.800000000D-02 0.857249738D+00 0.845850332D+00 0.847228612D+00 0.402356238D-02 -.289785629D-02
0.160000000D-01 0.853425884D+00 0.842789220D+00 0.843716841D+00 0.666751977D-02 -.479755012D-02
0.240000000D-01 0.848668298D+00 0.839737479D+00 0.838971230D+00 0.884137308D-02 -.635681259D-02
0.320000000D-01 0.843592169D+00 0.836682097D+00 0.833770702D+00 0.107034539D-01 -.769689059D-02
0.400000000D-01 0.838533540D+00 0.833622890D+00 0.828543081D+00 0.123226156D-01 -.887364581D-02
0.480000000D-01 0.833659329D+00 0.830563975D+00 0.823503855D+00 0.137382442D-01 -.991125363D-02
0.560000000D-01 0.829037166D+00 0.827508253D+00 0.818744201D+00 0.149757655D-01 -.108269086D-01
0.640000000D-01 0.824676460D+00 0.824454171D+00 0.814282713D+00 0.160546938D-01 -.116351468D-01
0.720000000D-01 0.820553380D+00 0.821394661D+00 0.810096807D+00 0.169910888D-01 -.123476700D-01
0.800000000D-01 0.816626759D+00 0.818317870D+00 0.806142541D+00 0.177984415D-01 -.129735383D-01
0.880000000D-01 0.812848406D+00 0.815208860D+00 0.802367270D+00 0.184886600D-01 -.135202547D-01
0.960000000D-01 0.809169667D+00 0.812051523D+00 0.798717533D+00 0.190726408D-01 -.139944060D-01
0.104000000D+00 0.805545336D+00 0.808830224D+00 0.795143654D+00 0.195605828D-01 -.144020396D-01
0.112000000D+00 0.801935747D+00 0.805530983D+00 0.791602133D+00 0.199621572D-01 -.147488727D-01
0.120000000D+00 0.798307637D+00 0.802142198D+00 0.788056587D+00 0.202865894D-01 -.150403969D-01
0.128000000D+00 0.794634219D+00 0.798654968D+00 0.784477790D+00 0.205426853D-01 -.152819218D-01
0.136000000D+00 0.790894803D+00 0.795063134D+00 0.780843203D+00 0.207388236D-01 -.154785833D-01
0.144000000D+00 0.787074166D+00 0.791363132D+00 0.777136235D+00 0.208829299D-01 -.156353310D-01
0.152000000D+00 0.783161825D+00 0.787553730D+00 0.773345416D+00 0.209824425D-01 -.157569074D-01
0.160000000D+00 0.779151292D+00 0.783635712D+00 0.769463557D+00 0.210442784D-01 -.158478210D-01
0.168000000D+00 0.775039374D+00 0.779611542D+00 0.765486971D+00 0.210748046D-01 -.159123213D-01
0.176000000D+00 0.770825537D+00 0.775485045D+00 0.761414773D+00 0.210798180D-01 -.159543758D-01
0.184000000D+00 0.766511341D+00 0.771261108D+00 0.757248271D+00 0.210645360D-01 -.159776511D-01
0.192000000D+00 0.762099969D+00 0.766945412D+00 0.752990451D+00 0.210335974D-01 -.159855012D-01
0.200000000D+00 0.757595818D+00 0.762544201D+00 0.748645544D+00 0.209910748D-01 -.159809603D-01
