0.800000000D-02 0.857249738D+00 0.845850332D+00 0.847228612D+00 0.402356238D-02 -.289785629D-02
0.160000000D-01 0.853425884D+00 0.842789220D+00 0.843716841D+00 0.666751977D-02 -.479755012D-02
0.240000000D-01 0.848668298D+00 0.839737479D+00 0.838971230D+00 0.884137308D-02 -.635681259D-02
0.320000000D-01 0.843592169D+00 0.836682097D+00 0.833770702D+00 0.107034539D-01 -.769689059D-02
0.400000000D-01 0.838533540D+00 0.833622890D+00 0.828543081D+00 0.123226156D-01 -.887364581D-02
0.480000000D-01 0.833659329D+00 0.830563975D+00 0.823503855D+00 0.137382442D-01 -.991125363D-02
0.560000000D-01 0.829037166D+00 0.827508253D+00 0.818744201D+00 0.149757655D-01 -.108269086D-01
0.640000000D-01 0.824676460D+00 0.824454171D+00 0.814282713D+00 0.160546938D-01 -.116351468D-01
0.720000000D-01 0.820553380D+00 0.821394661D+00 0.810096807D+00 0.169910888D-01 -.123476700D-01
0.800000000D-01 0.816626759D+00 0.818317870D+00 0.806142541D+00 0.177984415D-01 -.129735383D-01
0.880000000D-01 0.812848406D+00 0.815208860D+00 0.802367270D+00 0.184886600D-01 -.135202547D-01
0.960000000D-01 0.809169667D+00 0.812051523D+00 0.798717533D+00 0.190726408D-01 -.139944060D-01
0.104000000D+00 0.805545336D+00 0.808830224D+00 0.795143654D+00 0.195605828D-01 -.144020396D-01
0.112000000D+00 0.801935747D+00 0.805530983D+00 0.791602133D+00 0.199621572D-01 -.147488727D-01
0.120000000D+00 0.798307637D+00 0.802142198D+00 0.788056587D+00 0.202865894D-01 -.150403969D-01
0.128000000D+00 0.794634219D+00 0.798654968D+00 0.784477790D+00 0.205426853D-01 -.152819218D-01
0.136000000D+00 0.790894803D+00 0.795063134D+00 0.780843203D+00 0.207388236D-01 -.154785833D-01
0.144000000D+00 0.787074166D+00 0.791363132D+00 0.777136235D+00 0.208829299D-01 -.156353310D-01
0.152000000D+00 0.783161825D+00 0.787553730D+00 0.773345416D+00 0.209824425D-01 -.157569074D-01
0.160000000D+00 0.779151292D+00 0.783635712D+00 0.769463557D+00 0.210442784D-01 -.158478210D-01
0.168000000D+00 0.775039374D+00 0.779611542D+00 0.765486971D+00 0.210748046D-01 -.159123213D-01
0.176000000D+00 0.770825537D+00 0.775485045D+00 0.761414773D+00 0.210798180D-01 -.159543758D-01
0.184000000D+00 0.766511341D+00 0.771261108D+00 0.757248271D+00 0.210645360D-01 -.159776511D-01
0.192000000D+00 0.762099969D+00 0.766945412D+00 0.752990451D+00 0.210335974D-01 -.159855012D-01
0.200000000D+00 0.757595818D+00 0.762544201D+00 0.748645544D+00 0.209910748D-01 -.159809603D-01
0.208000000D+00 0.753004166D+00 0.758064088D+00 0.744218674D+00 0.209404951D-01 -.159667427D-01
0.216000000D+00 0.748330896D+00 0.753511893D+00 0.739715573D+00 0.208848699D-01 -.159452480D-01
0.224000000D+00 0.743582277D+00 0.748894507D+00 0.735142348D+00 0.208267310D-01 -.159185724D-01
0.232000000D+00 0.738764791D+00 0.744218789D+00 0.730505304D+00 0.207681716D-01 -.158885232D-01
0.240000000D+00 0.733884987D+00 0.739491481D+00 0.725810808D+00 0.207108899D-01 -.158566383D-01
0.248000000D+00 0.728949383D+00 0.734719146D+00 0.721065178D+00 0.206562349D-01 -.158242075D-01
0.256000000D+00 0.723964379D+00 0.729908121D+00 0.716274608D+00 0.206052515D-01 -.157922958D-01
0.264000000D+00 0.718936199D+00 0.725064482D+00 0.711445112D+00 0.205587248D-01 -.157617679D-01
0.272000000D+00 0.713870852D+00 0.720194024D+00 0.706582482D+00 0.205172218D-01 -.157333127D-01
0.280000000D+00 0.708774097D+00 0.715302248D+00 0.701692269D+00 0.204811299D-01 -.157074669D-01
0.288000000D+00 0.703651431D+00 0.710394352D+00 0.696779761D+00 0.204506927D-01 -.156846382D-01
0.296000000D+00 0.698508072D+00 0.705475237D+00 0.691849986D+00 0.204260406D-01 -.156651264D-01
0.304000000D+00 0.693348964D+00 0.700549506D+00 0.686907705D+00 0.204072186D-01 -.156491429D-01
0.312000000D+00 0.688178775D+00 0.695621474D+00 0.681957422D+00 0.203942085D-01 -.156368283D-01
0.320000000D+00 0.683001902D+00 0.690695179D+00 0.677003389D+00 0.203869487D-01 -.156282674D-01
0.328000000D+00 0.677822482D+00 0.685774390D+00 0.672049618D+00 0.203853495D-01 -.156235022D-01
0.336000000D+00 0.672644399D+00 0.680862627D+00 0.667099893D+00 0.203893045D-01 -.156225435D-01
0.344000000D+00 0.667471299D+00 0.675963164D+00 0.662157783D+00 0.203987003D-01 -.156253790D-01
0.352000000D+00 0.662306602D+00 0.671079055D+00 0.657226651D+00 0.204134221D-01 -.156319808D-01
0.360000000D+00 0.657153512D+00 0.666213136D+00 0.652309674D+00 0.204333582D-01 -.156423109D-01
0.368000000D+00 0.652015032D+00 0.661368048D+00 0.647409844D+00 0.204584018D-01 -.156563248D-01
0.376000000D+00 0.646893977D+00 0.656546245D+00 0.642529991D+00 0.204884517D-01 -.156739744D-01
0.384000000D+00 0.641792985D+00 0.651750008D+00 0.637672784D+00 0.205234123D-01 -.156952097D-01
0.392000000D+00 0.636714529D+00 0.646981456D+00 0.632840747D+00 0.205631919D-01 -.157199795D-01
0.400000000D+00 0.631660928D+00 0.642242560D+00 0.628036262D+00 0.206077013D-01 -.157482316D-01
0.408000000D+00 0.626634357D+00 0.637535149D+00 0.623261583D+00 0.206568520D-01 -.157799124D-01
0.416000000D+00 0.621636858D+00 0.632860927D+00 0.618518837D+00 0.207105537D-01 -.158149668D-01
0.424000000D+00 0.616670351D+00 0.628221474D+00 0.613810031D+00 0.207687131D-01 -.158533368D-01
0.432000000D+00 0.611736636D+00 0.623618261D+00 0.609137061D+00 0.208312319D-01 -.158949612D-01
0.440000000D+00 0.606837410D+00 0.619052656D+00 0.604501711D+00 0.208980054D-01 -.159397746D-01
0.448000000D+00 0.601974265D+00 0.614525931D+00 0.599905658D+00 0.209689214D-01 -.159877069D-01
0.456000000D+00 0.597148703D+00 0.610039267D+00 0.595350476D+00 0.210438599D-01 -.160386824D-01
0.464000000D+00 0.592362136D+00 0.605593765D+00 0.590837638D+00 0.211226922D-01 -.160926194D-01
0.472000000D+00 0.587615896D+00 0.601190447D+00 0.586368518D+00 0.212052809D-01 -.161494305D-01
0.480000000D+00 0.582911237D+00 0.596830264D+00 0.581944390D+00 0.212914805D-01 -.162090217D-01
0.488000000D+00 0.578249341D+00 0.592514100D+00 0.577566433D+00 0.213811373D-01 -.162712931D-01
0.496000000D+00 0.573631323D+00 0.588242776D+00 0.573235731D+00 0.214740901D-01 -.163361387D-01
0.504000000D+00 0.569058236D+00 0.584017058D+00 0.568953272D+00 0.215701711D-01 -.164034469D-01
0.512000000D+00 0.564531072D+00 0.579837655D+00 0.564719952D+00 0.216692064D-01 -.164731007D-01
0.520000000D+00 0.560050767D+00 0.575705225D+00 0.560536576D+00 0.217710171D-01 -.165449785D-01
0.528000000D+00 0.555618205D+00 0.571620383D+00 0.556403854D+00 0.218754201D-01 -.166189544D-01
0.536000000D+00 0.551234220D+00 0.567583696D+00 0.552322411D+00 0.219822288D-01 -.166948988D-01
0.544000000D+00 0.546899601D+00 0.563595694D+00 0.548292782D+00 0.220912541D-01 -.167726789D-01
0.552000000D+00 0.542615091D+00 0.559656868D+00 0.544315417D+00 0.222023055D-01 -.168521596D-01
0.560000000D+00 0.538381392D+00 0.555767674D+00 0.540390681D+00 0.223151912D-01 -.169332038D-01
0.568000000D+00 0.534199169D+00 0.551928536D+00 0.536518860D+00 0.224297194D-01 -.170156730D-01
0.576000000D+00 0.530069049D+00 0.548139851D+00 0.532700161D+00 0.225456987D-01 -.170994279D-01
0.584000000D+00 0.525991626D+00 0.544401985D+00 0.528934716D+00 0.226629390D-01 -.171843289D-01
0.592000000D+00 0.521967462D+00 0.540715283D+00 0.525222586D+00 0.227812516D-01 -.172702365D-01
0.600000000D+00 0.517997087D+00 0.537080065D+00 0.521563763D+00 0.229004499D-01 -.173570119D-01
0.608000000D+00 0.514081004D+00 0.533496633D+00 0.517958179D+00 0.230203500D-01 -.174445173D-01
0.616000000D+00 0.510219692D+00 0.529965269D+00 0.514405703D+00 0.231407708D-01 -.175326163D-01
0.624000000D+00 0.506413599D+00 0.526486238D+00 0.510906151D+00 0.232615346D-01 -.176211740D-01
0.632000000D+00 0.502663155D+00 0.523059791D+00 0.507459290D+00 0.233824674D-01 -.177100579D-01
0.640000000D+00 0.498968765D+00 0.519686165D+00 0.504064840D+00 0.235033988D-01 -.177991374D-01
0.648000000D+00 0.495330811D+00 0.516365584D+00 0.500722480D+00 0.236241625D-01 -.178882847D-01
0.656000000D+00 0.491749656D+00 0.513098260D+00 0.497431855D+00 0.237445968D-01 -.179773745D-01
0.664000000D+00 0.488225642D+00 0.509884396D+00 0.494192578D+00 0.238645441D-01 -.180662847D-01
0.672000000D+00 0.484759091D+00 0.506724184D+00 0.491004235D+00 0.239838516D-01 -.181548959D-01
0.680000000D+00 0.481350306D+00 0.503617805D+00 0.487866391D+00 0.241023710D-01 -.182430923D-01
0.688000000D+00 0.477999569D+00 0.500565431D+00 0.484778592D+00 0.242199590D-01 -.183307611D-01
